Year,Dwelling,Other_Property_Categories,Total
2009,6.8,1.1,7.9
2010,7.6,1.4,9
2011,5.9,1.1,7
2012,5,0.5,5.5
2013,5.7,1,6.7
2014,3.7,0.3,4
2015,3,1.2,4.2
2016,4.9,0.9,5.8
2017,11.8,0.5,12.3
2018,4.1,0.8,4.9
2019,3.6,0.9,4.5
2020,3.4,0.1,3.5
